Name,Address,Parking,Cost,Comfort,ImageURL,Wifi,Area,Parking_Type
Cafe Comma,"3621 Vinings Slope SE Suite 4150, Atlanta, GA 30339",free parking out front and in the deck!!!,2,"uncomfortable, you're gonna be sitting on wooden blocks",https://www.dropbox.com/scl/fi/dcykb63zn59chhhp1g0el/cafecomma.JPG?rlkey=iu7dtwl9b4l8qnssbkn5a9hp3&st=hcpckjhd&dl=0,TRUE,Vinings,Free
Dancing Goats,"33 Peachtree Pl NE, Atlanta, GA 30309","there's street parking out front but you have to pay, I get away with running in and out without paying but if I wanna sit there i typically park at Publix midtown or walk from Tech's campus",1,"comfy, just gets busy",,TRUE,Midtown,Street
Con Leche Coffee,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316",free parking lot in the back yay!,2,"no seating inside, some outdoor seating",,TRUE,Reynoldstown,Free
Prevail Union,"1050 Howell Mill Rd Suite 100, Atlanta, GA 30318",there is a deck next to the cafe you have to pay for but i park a little down the street in this furniture store's parking lot and walk like 2-3 mins ,2,"comfortable seating, in the lobby of an apt building",,TRUE,Westisde Provisions,Free
East Pole,"255 Ottley Dr NE #105, Atlanta, GA 30324","there is a smallll free parking lot right in front of the cafe, but there is a huge lot that is a little before the cafe and it's a 1 min walk",2,"comfortable, but you have to sit on the bar for outlet access",https://www.dropbox.com/scl/fi/whmtrwpheay9vi4dp67qt/eastpole.JPG?rlkey=3vhsdqwj9b1t3hc1i7xg7s072&st=ciosgv7w&dl=0,TRUE,Brookwood Hills,Free
Blue Donkey,"Price Gilbert Memorial Library, 704 Cherry St NW, Atlanta, GA 30332",they're located in the georgia tech buildings so i just park with my student parking pass,2,,,TRUE,Georgia Tech,Free
Black Coffee,"1800 Jonesboro Rd SE Suite C, Lakewood, GA 30315",there is a free lot but it is typically packed so you just gotta circle around until you find an open space,1,"indoor seating, but can get crowded",,TRUE,Downtown Atlanta,Free
Saint Germaine,"1115 Howell Mill Rd Suite 372, Atlanta, GA 30318",you gotta park in the paid parking deck :( or park in front of BRASH coffee and walk,3,lots of comfortable indoor seating downstairs and upstairs. upstairs booths also have an outlet,,TRUE,Westside Provisions,Parking Deck
Urban Grind,"962 Marietta St NW, Atlanta, GA 30318","there's free street parking next to the cafe but, again, you just have to wait for an open spot to avoid paying in the deck across the street",1,,,TRUE,Westside Provisions,Free
Apotheos,"740 W Peachtree St NW, Atlanta, GA 30308",there's paid street parking in front but i park at the Starbucks on Spring St. for free and walk (it's like a 5 min walk),2,"Inside of the first-floor of the Elevance Heatlh building, so there is no set seating for the coffee stand itself, but there are couches and tables around the first floor where you can enjoy the coffee",https://www.dropbox.com/scl/fi/2pilf9251evfrzcfn3kcw/apotheos.JPG?rlkey=pexbfzim7x910v5vizcdbkxay&st=0h5o4jr2&dl=0,TRUE,Midtown,Street
